"","...1","Identifier","plate","adaptor_plate_well_added","...5","Taxon","Collector","Sample Number","Date","Coord 1","Coord 2","Datum","Location","Location Code","Elevation (ft asl)","Voucher","Other Documentation","Other Comments","Extractions","ng/uL","taxa_loc"
"291",292,"PEHA12_78","Plate1","G2",345,"Penstemon haydenii","J Stubbendieck","HC 13","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","3.6 (p.50)","Penstemon haydenii LOC5"
"292",293,"PEHA12_79","Plate1","G3",346,"Penstemon haydenii","J Stubbendieck","HC 14","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525",".9 (p.50)","Penstemon haydenii LOC5"
"293",294,"PEHA12_80","Plate1","G4",347,"Penstemon haydenii","J Stubbendieck","HC 15","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","4.4 (p.50)","Penstemon haydenii LOC5"
"294",295,"PEHA12_81","Plate1","G5",348,"Penstemon haydenii","J Stubbendieck","HC 16","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","2.5 (p.50)","Penstemon haydenii LOC5"
"295",296,"PEHA12_82","Plate1","G6",349,"Penstemon haydenii","J Stubbendieck","HC 17","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","5.0 (p.50)","Penstemon haydenii LOC5"
"296",297,"PEHA12_83","Plate1","G7",350,"Penstemon haydenii","J Stubbendieck","HC 18","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","3.5 (p.50)","Penstemon haydenii LOC5"
"297",298,"PEHA12_84","Plate1","G8",351,"Penstemon haydenii","J Stubbendieck","HC 19","38621","sensitive data; see comments","sensitive data; see comments","NA","NE, Hooker County","LOC5","NA","No voucher","message with calculated distances between 3 sites","private land; there is only one site in Hooker Co. (pers. comm. Heidel)","37525","4.6 (p.50)","Penstemon haydenii LOC5"
"298",299,"PEHU_01","Plate3","D6",393,"Penstemon humilis","NA","P129.1","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden, CO","LOC1","NA","NA","NA","called P. humilis var. humilis by CBG; typical variety not recognized in USDA PLANTS database as there are no other varieties; P. humilis ssp. humilis is recognized as there are several subspecies","37775","3.4 (p.10 BJ)","Penstemon humilis LOC1"
"299",300,"PEKI_01","Plate3","E12",401,"Penstemon kingii","NA","P132.1","NA","NA","NA","NA","Wild-collected","LOC1","NA","NA","NA","NA","37775","6.9 (p.10 BJ)","Penstemon kingii LOC1"
"300",301,"PELAE2_01","Plate3","G6",402,"Penstemon laricifolius var exilifolius","Susan Bell","Smilo Rd 1","38531","N44 03 36.7","W107 21 24.1","NA","WY, Bighorn Nat. Forest, Sand Draw, Smilo Rd","LOC1","5172","No voucher","topo & orthophoto with plotted locations, from GIS; photos","NA","37336","10.5 (p.32)","Penstemon laricifolius var exilifolius LOC1"
"301",302,"PELAE2_02","Plate3","G7",403,"Penstemon laricifolius var exilifolius","Dorothy Tuthill","SM1","38542","N41 08 48.6","W106 01 58.7","NA","WY, Sheep Mtn trail (W of Laramie)","LOC2","8200","No voucher","NA","NA","37933","10.3 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC2"
"302",303,"PELAE2_03","Plate3","G8",404,"Penstemon laricifolius var exilifolius","Dorothy Tuthill","SM2","38542","N41 08 48.6","W106 01 58.7","NA","WY, Sheep Mtn trail (W of Laramie)","LOC2","8200","No voucher","NA","NA","37933","9.6 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC2"
"303",304,"PELAE2_04","Plate3","G9",405,"Penstemon laricifolius var exilifolius","Dorothy Tuthill","SM3","38542","N41 08 59.7","W106 01 55.9","NA","WY, Sheep Mtn trail (W of Laramie)","LOC2","8300","No voucher","NA","NA","37933","9.4 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC2"
"304",305,"PELAE2_05","Plate3","G10",406,"Penstemon laricifolius var exilifolius","Dorothy Tuthill","SM4","38542","N41 09 03.0","W106 01 55.9","NA","WY, Sheep Mtn trail (W of Laramie)","LOC2","8400","No voucher","NA","NA","37933","5.3 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC2"
"305",306,"PELAE2_08","Plate3","G11",409,"Penstemon laricifolius var exilifolius","Joy Handley","1","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie), 0463286E	4566922N","LOC3","8642","No voucher","7.5' quad with location","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37336","4.8 (p. 32)","Penstemon laricifolius var exilifolius LOC3"
"306",307,"PELAE2_09","Plate3","G12",410,"Penstemon laricifolius var exilifolius","Joy Handley","2","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8660","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38175","6.4 (p.117 BJ)","Penstemon laricifolius var exilifolius LOC3"
"307",308,"PELAE2_10","Plate3","H1",411,"Penstemon laricifolius var exilifolius","Joy Handley","3","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8649","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37933","6.0 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC3"
"308",309,"PELAE2_11","Plate3","H2",412,"Penstemon laricifolius var exilifolius","Joy Handley","4","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8626","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37933","7.5 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC3"
"309",310,"PELAE2_12","Plate3","H3",413,"Penstemon laricifolius var exilifolius","Joy Handley","5","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8628","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37933","10.4 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC3"
"310",311,"PELAE2_13","Plate3","H4",414,"Penstemon laricifolius var exilifolius","Joy Handley","6","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8631","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37933","10.4 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC3"
"311",312,"PELAE2_14","Plate3","H5",415,"Penstemon laricifolius var exilifolius","Joy Handley","7","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8627","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38175","8.9 (p.117 BJ)","Penstemon laricifolius var exilifolius LOC3"
"312",313,"PELAE2_15","Plate3","H6",416,"Penstemon laricifolius var exilifolius","Joy Handley","8","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8628","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38175","8.2 (p.117 BJ)","Penstemon laricifolius var exilifolius LOC3"
"313",314,"PELAE2_16","Plate3","H7",417,"Penstemon laricifolius var exilifolius","Joy Handley","9","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8638","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 6.4 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"314",315,"PELAE2_17","Plate3","H8",418,"Penstemon laricifolius var exilifolius","Joy Handley","10","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8632","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37336","9.1 (p.32)","Penstemon laricifolius var exilifolius LOC3"
"315",316,"PELAE2_18","Plate3","H9",419,"Penstemon laricifolius var exilifolius","Joy Handley","11","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8624","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 8.8 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"316",317,"PELAE2_19","Plate3","H10",420,"Penstemon laricifolius var exilifolius","Joy Handley","12","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8622","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 7.5 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"317",318,"PELAE2_20","Plate3","H11",421,"Penstemon laricifolius var exilifolius","Joy Handley","13","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8628","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 8.8 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"318",319,"PELAE2_21","Plate3","H12",422,"Penstemon laricifolius var exilifolius","Joy Handley","14","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8622","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 11.0 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"319",320,"PELAE2_22","Plate4","A1",423,"Penstemon laricifolius var exilifolius","Joy Handley","15","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8629","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 6.9 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"320",321,"PELAE2_23","Plate4","A2",424,"Penstemon laricifolius var exilifolius","Joy Handley","16","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8624","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 5.8 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"321",322,"PELAE2_24","Plate4","A3",425,"Penstemon laricifolius var exilifolius","Joy Handley","17","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8632","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 7.9 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"322",323,"PELAE2_25","Plate4","A4",426,"Penstemon laricifolius var exilifolius","Joy Handley","18","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8632","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","38178","not listed (p.117 BJ), 6.9 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC3"
"323",324,"PELAE2_27","Plate4","A5",428,"Penstemon laricifolius var exilifolius","Joy Handley","20","38543","41.255352000000002","-105.4335262","NAD27","WY, ""Pilot Hill 1"" (Laramie Mts E of Laramie)","LOC3","8633","No voucher","NA","collected from ca. 3 acres in T15N R72W Sec 23 - midpoint is 463286E, 4566922N","37336","7.6 (p.32)","Penstemon laricifolius var exilifolius LOC3"
"324",325,"PELAE2_28","Plate4","A6",429,"Penstemon laricifolius var exilifolius","Jenny Hankins","1","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr, 0412148E	4555726N","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","37933","66 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC4"
"325",326,"PELAE2_29","Plate4","A7",430,"Penstemon laricifolius var exilifolius","Jenny Hankins","2","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","37933","4.5 (p.87 BJ)","Penstemon laricifolius var exilifolius LOC4"
"326",327,"PELAE2_30","Plate4","A8",431,"Penstemon laricifolius var exilifolius","Jenny Hankins","3","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 5.2 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"327",328,"PELAE2_31","Plate4","A9",432,"Penstemon laricifolius var exilifolius","Jenny Hankins","4","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 4.5 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"328",329,"PELAE2_32","Plate4","A10",433,"Penstemon laricifolius var exilifolius","Jenny Hankins","5","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed, 6.1 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"329",330,"PELAE2_33","Plate4","A11",434,"Penstemon laricifolius var exilifolius","Jenny Hankins","6","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 5.0 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"330",331,"PELAE2_34","Plate4","A12",435,"Penstemon laricifolius var exilifolius","Jenny Hankins","7","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 5.6 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"331",332,"PELAE2_35","Plate4","B1",436,"Penstemon laricifolius var exilifolius","Jenny Hankins","8","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 4.4 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"332",333,"PELAE2_36","Plate4","B2",437,"Penstemon laricifolius var exilifolius","Jenny Hankins","9","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 11.6 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"333",334,"PELAE2_37","Plate4","B3",438,"Penstemon laricifolius var exilifolius","Jenny Hankins","10","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 6.1 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"334",335,"PELAE2_38","Plate4","B4",439,"Penstemon laricifolius var exilifolius","Erin Foley","11","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 9.9 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"335",336,"PELAE2_39","Plate4","B5",440,"Penstemon laricifolius var exilifolius","Erin Foley","12","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 5.0 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"336",337,"PELAE2_40","Plate4","B6",441,"Penstemon laricifolius var exilifolius","Erin Foley","13","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","37336","4.9 (p.32)","Penstemon laricifolius var exilifolius LOC4"
"337",338,"PELAE2_41","Plate4","B7",442,"Penstemon laricifolius var exilifolius","Erin Foley","14","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr, 0412181E	4555825N","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 5.5 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"338",339,"PELAE2_42","Plate4","B8",443,"Penstemon laricifolius var exilifolius","Erin Foley","15","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 6.5 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"339",340,"PELAE2_43","Plate4","B9",444,"Penstemon laricifolius var exilifolius","Erin Foley","16","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","38178","not listed (p.117 BJ), 7.3 (p.119 BJ) -- 7/21/2008 -WS","Penstemon laricifolius var exilifolius LOC4"
"340",341,"PELAE2_46","Plate4","B10",447,"Penstemon laricifolius var exilifolius","Erin Foley","19","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","37336","4.9 (p.32)","Penstemon laricifolius var exilifolius LOC4"
"341",342,"PELAE2_52","Plate4","B11",453,"Penstemon laricifolius var exilifolius","Erin Foley","25","38556","41.156832299999898"," -108.3283162","WGS84","WY, Medicine Bow Mts between Lake Owen Cr & Fence Cr, 0412193E	4555919N","LOC4","8200","No voucher","topo, description of general setting","T14N R97W Sec 28 SW4","37336","12.2 (p.32)","Penstemon laricifolius var exilifolius LOC4"
"342",343,"PELAL7_01","Plate4","E12",454,"Penstemon laricifolius ssp. laricifolius","Susan Bell","Shell Cyn - 1","38547","N44 35 15.0","W107 37 12.0","NA","WY, Bighorn Nat. Forest, Shell Canyon","LOC1","ca.6000; label data not accurate (GPS?)","No voucher","topo & orthophoto with plotted locations, from GIS; photo","NA","37933","not listed","Penstemon laricifolius ssp. laricifolius LOC1"
"343",344,"PELAL7_02","Plate4","F1",455,"Penstemon laricifolius ssp. laricifolius","Susan Bell","Shell Cyn - 2","38547","N44 35 15.2","W107 37 12.0","NA","WY, Bighorn Nat. Forest, Shell Canyon","LOC1","ca.6000; label data not accurate (GPS?)","No voucher","topo & orthophoto with plotted locations, from GIS; photo","NA","37933","not listed","Penstemon laricifolius ssp. laricifolius LOC1"
"344",345,"PELAL7_05","Plate4","F2",458,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-1","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","11.9 not listed (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"345",346,"PELAL7_06","Plate4","F3",459,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-2","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","9.1 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"346",347,"PELAL7_07","Plate4","F4",460,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-3","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","8.8 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"347",348,"PELAL7_08","Plate4","F5",461,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-4","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","11.2 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"348",349,"PELAL7_09","Plate4","F6",462,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-5","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","20.8 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"349",350,"PELAL7_10","Plate4","F7",463,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-6","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","10.7 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"350",351,"PELAL7_11","Plate4","F8",464,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-7","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","6.2 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"351",352,"PELAL7_12","Plate4","F9",465,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-8","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","7.5 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"352",353,"PELAL7_13","Plate4","F10",466,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-9","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","14.8 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"353",354,"PELAL7_14","Plate4","F11",467,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-10","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","15.9 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"354",355,"PELAL7_15","Plate4","F12",468,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-11","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","9.4 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"355",356,"PELAL7_16","Plate4","G1",469,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-12","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","8.0 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"356",357,"PELAL7_17","Plate4","G2",470,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-13","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","6.9 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"357",358,"PELAL7_18","Plate4","G3",471,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-14","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","8.6 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"358",359,"PELAL7_19","Plate4","G4",472,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-15","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","14.3 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"359",360,"PELAL7_20","Plate4","G5",473,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-16","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","8.8 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
